model,result,dimension,bucket,samples,C-Acc,EtF1,tIoU
MCG-NJU/TimeLens2-4B,uniform-one-shot-64f,evidence_density,≥30%,93,11.827956989247312,10.51373954599761,58.2378834451966
MCG-NJU/TimeLens2-4B,uniform-one-shot-64f,median_span,5–15s,132,6.818181818181818,4.259259259259259,37.51981379235328
MCG-NJU/TimeLens2-4B,uniform-one-shot-64f,median_span,>15s,94,15.957446808510639,14.12529550827423,58.0007283364987
MCG-NJU/TimeLens2-4B,uniform-one-shot-64f,median_span,≤5s,94,14.893617021276595,8.392434988179668,31.472593533549542
MCG-NJU/TimeLens2-4B,uniform-one-shot-64f,span_count,2–3,199,18.592964824120603,13.42825237297599,45.875211208654136
MCG-NJU/TimeLens2-4B,uniform-one-shot-64f,span_count,4–5,73,1.36986301369863,0.09132420091324203,36.299007623976195
MCG-NJU/TimeLens2-4B,uniform-one-shot-64f,span_count,≥6,48,0.0,0.0,33.0023560271403
MCG-NJU/TimeLens2-4B,full-video-multipass-64f,dispersion,25–60%,137,9.489051094890511,5.27169505271695,39.78371704853701
MCG-NJU/TimeLens2-4B,full-video-multipass-64f,dispersion,<25%,44,0.0,0.0,36.078043152771954
MCG-NJU/TimeLens2-4B,full-video-multipass-64f,dispersion,≥60%,139,10.79136690647482,5.39568345323741,35.00342545743131
MCG-NJU/TimeLens2-4B,full-video-multipass-64f,duration,120–300s,157,7.643312101910828,4.6001415428167025,40.85647951218143
MCG-NJU/TimeLens2-4B,full-video-multipass-64f,duration,>300s,65,4.615384615384615,1.0256410256410255,20.383894951364848
MCG-NJU/TimeLens2-4B,full-video-multipass-64f,duration,≤120s,98,13.26530612244898,6.972789115646258,42.48835528268661
MCG-NJU/TimeLens2-4B,full-video-multipass-64f,evidence_density,10–30%,149,8.053691275167786,3.803131991051454,36.429506825158114
MCG-NJU/TimeLens2-4B,full-video-multipass-64f,evidence_density,<10%,78,11.538461538461538,3.4900284900284895,17.699898615704036
MCG-NJU/TimeLens2-4B,full-video-multipass-64f,evidence_density,≥30%,93,7.526881720430108,6.810035842293908,54.78162004280663
MCG-NJU/TimeLens2-4B,full-video-multipass-64f,median_span,5–15s,132,4.545454545454546,1.6414141414141414,34.88820118618382
MCG-NJU/TimeLens2-4B,full-video-multipass-64f,median_span,>15s,94,10.638297872340425,8.687943262411348,51.65526077008637
MCG-NJU/TimeLens2-4B,full-video-multipass-64f,median_span,≤5s,94,12.76595744680851,4.669030732860519,25.98342770202238
MCG-NJU/TimeLens2-4B,full-video-multipass-64f,span_count,2–3,199,13.06532663316583,7.230597431602457,40.486845383821816
MCG-NJU/TimeLens2-4B,full-video-multipass-64f,span_count,4–5,73,2.73972602739726,0.45662100456620996,32.34753898517362
MCG-NJU/TimeLens2-4B,full-video-multipass-64f,span_count,≥6,48,0.0,0.0,30.93805615950569
MCG-NJU/TimeLens2-4B,uniform-window-local-64f,dispersion,25–60%,137,32.846715328467155,14.663422546634225,33.956405642356145
MCG-NJU/TimeLens2-4B,uniform-window-local-64f,dispersion,<25%,44,54.54545454545455,12.94191919191919,25.870670769772882
